Norwegian,English
Hei!,Hello!
Ha det bra!,Goodbye!
Ja,Yes
Nei,No
Vær så snill,Please
Jeg vet ikke,I don't know
Hva er dette?,What is this?
Jeg forstår,I understand
Hvor er toalettet?,Where is the restroom?
Jeg elsker deg,I love you
Beklager,I apologize
Kan du hjelpe meg?,Can you help me?
Selvfølgelig!,Of course!
Lykke til!,Good luck!
Ha en fin dag!,Have a nice day!
Jeg beklager,I'm sorry
Hvordan kommer jeg dit?,How do I get there?
Hva gjør du for arbeid?,What do you do for work?
Jeg er sulten,I'm hungry
Jeg vil gjerne ha...,I would like to have...
Kan du anbefale noe?,Can you recommend something?
Hvor bor du?,Where do you live?
Ser du etter noe spesielt?,Are you looking for something specific?
Hvor lang tid tar det?,How long does it take?
Hva synes du?,What do you think?
Kan du fortelle meg mer?,Can you tell me more?
Jeg liker det,I like it
Kan du anbefale en restaurant?,Can you recommend a restaurant?
Er det en lege i nærheten?,Is there a doctor nearby?
Hva er din favorittmat?,What is your favorite food?
Jeg trenger mer tid,I need more time
Kan du gi meg beskjed når...?,Can you let me know when...?
Hvordan kommer jeg til...?,How do I get to...?
Kan jeg ta et bilde?,Can I take a picture?
Hva er været i dag?,What is the weather like today?
Jeg vil gjerne bestille,I would like to make a reservation
Hvordan betaler jeg?,How do I pay?
Jeg er lei meg,I am sorry (apologetic)
Jeg er enig,I agree
Jeg er uenig,I disagree
Kan du vennligst gjenta det?,Can you please repeat that?
Hvordan er kulturen her?,What is the culture like here?
Jeg er nysgjerrig,I am curious
Kan du oversette dette?,Can you translate this?
Jeg vil gjerne klage,I would like to complain
Hvor er nærmeste supermarked?,Where is the nearest supermarket?
Jeg har glemt passordet,I forgot the password
Kan jeg få kvittering?,Can I have the receipt?
Hva anbefaler du å gjøre her?,What do you recommend doing here?
Kan jeg få en kopp kaffe?,Can I have a cup of coffee?
Jeg vil gjerne bytte dette,I would like to exchange this
Jeg gleder meg,I am looking forward to it
